类别：所有类别,
"大英博物馆: (2021/11/5 下午3:12 - 2021/11/12 下午3:12, 全球)",
,
TOP,
Museum,100
London,23
Britain,6
Art Museum,5
Gallery,4
Ticket,4
Natural History Museum,3
Mummies,3
British,3
Victoria and Albert Museum,3
Tate Modern,3
National Gallery,2
Peru,1
Katsushika Hokusai,1
Library,1
Palace,1
Egypt,1
Museum of London,1
Louvre,1
London Tower,1
The British Library,1
Rosetta Stone,1
Buckingham Palace,1
Bridge,1
BigBen,1
,
RISING,
Peru,200%
Courtauld Gallery,110%
London Tower,70%
Trafalgar Square,60%
Hyde Park,50%
Palace of Westminster,50%
Borough Market,50%
Brighton,50%
BigBen,40%
